TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
196.73,11.79,392.73747205734253,1.31194,8.27724,11.7668872663,3.71335,0.46123,2.25157,33,22.8579,24.59125,8.32001,2048,11.525877237319946,46.75
229.8,7.07,404.0707845687866,1.2886,10.8198,16.2443397834,3.62771,0.479158,2.65218,34,35.6401,28.725,10.8553,2048,11.326346635818481,46.91
149.93,2.47,414.95912981033325,1.31507,7.02373,8.19976743192,3.72502,0.484277,2.10569,35,18.2152,18.74125,7.06257,2048,10.881219148635864,32.19
191.65,5.93,426.3410716056824,1.30817,8.23423,10.1032159948,3.69938,0.324723,2.1186,36,25.5443,23.95625,8.27066,2048,11.374527931213379,36.89
186.99,7.09,437.21706080436707,1.32072,9.81043,13.5089247699,3.74612,0.501917,3.02737,37,30.968,23.37375,9.84854,2048,10.868670463562012,48.88
194.51,2.91,448.9426431655884,1.3025,11.5813,13.7324806003,3.6785,0.406995,2.615,38,33.9324,24.31375,11.6529,2048,11.71815800666809,42.44
180.04,6.73,460.59139823913574,1.31455,9.41997,10.11154909,3.72307,0.433789,2.94132,39,29.5916,22.505,9.46185,2048,11.641473531723022,33.94
168.95,6.91,472.4550426006317,1.30557,9.54776,12.605262232,3.68978,0.308823,1.63119,40,37.048,21.11875,9.58215,2048,11.856502056121826,42.17
162.93,2.53,483.2785243988037,1.30267,8.00268,12.8200135896,3.67912,0.277854,2.2709,41,25.1306,20.36625,8.03772,2048,10.816301584243774,41.34
204.5,16.71,495.20423197746277,1.32749,8.68531,9.48661128907,3.77158,0.459751,2.29522,42,29.61,25.5625,8.73139,2048,11.918565273284912,46.48
149.78,1.57,506.0803246498108,1.31765,8.02226,12.4668598191,3.73465,0.521032,2.26792,43,24.4519,18.7225,8.05421,2048,10.868960618972778,38.78
175.99,6.57,516.9721145629883,1.32835,8.03418,7.04969580461,3.7748,0.388786,2.76792,44,18.4184,21.99875,8.07101,2048,10.884738206863403,31.9
216.48,7.71,527.7903203964233,1.2928,11.6535,12.313273326,3.64297,0.49873,2.29293,45,36.5626,27.06,11.7324,2048,10.811106204986572,51.53
199.3,1.96,539.0430519580841,1.32511,10.0656,13.6418911354,3.76262,0.358965,2.23248,46,37.3811,24.9125,10.1138,2048,11.245669841766357,48.58
109.08,1.96,550.3612439632416,1.31143,5.38946,9.26807018748,3.71149,0.420199,2.1628,47,10.9342,13.635,5.42396,2048,11.309906244277954,27.82
204.7,6.32,561.9472780227661,1.32807,9.49094,11.3344549384,3.77377,0.507599,2.29859,48,22.8866,25.5875,9.54228,2048,11.578940629959106,37.52
193.4,11.19,572.8943362236023,1.29119,9.87114,6.31063586337,3.6371,0.495497,2.08114,49,33.1328,24.175,9.93357,2048,10.939972877502441,31.71
118.27,3.27,583.6599946022034,1.30675,5.24763,7.64366394064,3.69414,0.442437,1.99193,50,10.4249,14.78375,5.28658,2048,10.75837755203247,27.07
165.78,1.87,594.9819111824036,1.30812,6.68495,9.10228920382,3.69922,0.357145,2.50444,51,15.4346,20.7225,6.72823,2048,11.314908504486084,36.18
166.77,1.82,606.6648209095001,1.31219,7.84926,9.48488526222,3.71431,0.412335,2.22292,52,18.1414,20.84625,7.89944,2048,11.675496101379395,32.28
