ItrTime,Iteration,TotalReturn,MinReturn,Loss,MaxReturn,Time,AverageReturn,NofTrajectories,StdReturn
31.539849281311035,0,28.63,0.36,0.157323,6.57,31.539838075637817,2.863,200,2.66346785226
35.07662773132324,1,56.29,0.17,0.47271,15.2,66.63043355941772,5.629,200,4.41692755204
30.557109117507935,2,46.58,0.56,0.000417717,15.5,97.19247651100159,4.658,200,5.70910465835
30.52051568031311,3,47.45,0.38,0.159722,11.12,127.71798515319824,4.745,200,3.18619914632
30.503012657165527,4,37.07,0.51,0.000571353,11.33,158.226176738739,3.707,200,3.48785621837
30.4290771484375,5,36.6,0.45,0.157125,10.7,188.6608338356018,3.66,200,3.26436517565
30.589477062225342,6,27.31,0.45,0.000492263,10.94,219.25519824028015,2.731,200,3.34745111988
31.6826114654541,7,55.9,0.48,0.157377,10.72,250.94262599945068,5.59,200,4.39716499577
30.529016971588135,8,66.38,0.38,0.000292357,11.23,281.4764413833618,6.638,200,4.3270863176
30.50397253036499,9,51.16,0.46,0.000777027,10.65,311.98521280288696,5.116,200,4.08980733043
30.52716326713562,10,35.91,0.22,0.000426888,10.41,342.5172233581543,3.591,200,3.32420351363
30.632857084274292,11,38.37,0.93,0.000616216,10.6,373.1549565792084,3.837,200,3.0675072942
30.577380180358887,12,36.25,0.28,0.000467574,10.37,403.7371699810028,3.625,200,3.33640899771
30.51519799232483,13,56.1,0.26,0.157137,16.27,434.25721168518066,5.61,200,5.21436093879
31.0645854473114,14,26.33,0.24,0.00059588,10.42,465.3266227245331,2.633,200,3.19004090883
30.761216402053833,15,36.04,0.33,0.000870291,10.43,496.0935981273651,3.604,200,3.247079303
30.77276611328125,16,25.82,0.15,0.315592,5.82,526.8712179660797,2.582,200,2.3299218871
30.70146346092224,17,55.26,0.19,0.000326355,11.03,557.5774347782135,5.526,200,4.05815771009
30.583913803100586,18,36.45,0.51,0.15763,15.4,588.1661930084229,3.645,200,4.94017661628
30.5659019947052,19,36.02,0.42,0.000332573,10.39,618.737774848938,3.602,200,3.27519404005
30.6419517993927,20,56.62,0.38,0.00036438,10.75,649.3845264911652,5.662,200,3.93179551859
30.634045124053955,21,66.08,0.5,0.314158,25.47,680.0234353542328,6.608,200,7.32196804145
30.676414489746094,22,37.23,0.47,0.000234278,10.94,710.7048463821411,3.723,200,3.48420163022
30.532373666763306,23,26.44,0.52,0.000340482,5.79,741.241996049881,2.644,200,2.35824595833
30.648797035217285,24,45.14,0.26,0.000193035,10.62,771.895975112915,4.514,200,4.32878320085
30.599770545959473,25,26.76,0.44,0.000332759,5.76,802.5007259845734,2.676,200,2.42824298619
30.645147562026978,26,16.56,0.47,0.157191,5.52,833.1506714820862,1.656,200,1.92425673963
30.43622350692749,27,48.76,0.69,0.472607,11.12,863.5918762683868,4.876,200,3.07203906225
30.64746904373169,28,7.75,0.31,0.000218988,1.34,894.2445163726807,0.775,200,0.291453255257
30.47233819961548,29,46.61,0.46,0.157175,10.87,924.7220325469971,4.661,200,4.36526620036
31.649787664413452,30,36.35,0.35,0.156774,10.69,956.3766412734985,3.635,200,3.27719468448
30.581673622131348,31,26.95,0.48,0.000205553,5.79,986.9631128311157,2.695,200,2.39031483282
30.643856287002563,32,19.72,0.49,0.000345776,6.46,1017.6121289730072,1.972,200,2.04840816245
30.52711820602417,33,46.43,0.38,0.31492,10.64,1048.1443297863007,4.643,200,3.68246670046
30.670231103897095,34,28.77,0.44,0.314247,6.24,1078.819572210312,2.877,200,2.40778342049
30.53099822998047,35,26.61,0.31,0.000372354,5.86,1109.355346441269,2.661,200,2.39198850332
30.718846082687378,36,17.13,0.37,0.000401569,5.89,1140.079086303711,1.713,200,2.02141064606
30.5425124168396,37,65.22,0.55,0.000286383,15.26,1170.6267130374908,6.522,200,4.29652603856
30.664989471435547,38,66.56,0.34,0.15733,20.43,1201.2965359687805,6.656,200,5.75267450844
30.617886543273926,39,35.89,0.33,0.15759,10.64,1231.9193758964539,3.589,200,3.2849853881
31.08668875694275,40,35.43,0.13,0.15684,6.03,1263.0108795166016,3.543,200,2.43872528178
30.450080394744873,41,16.28,0.41,0.000202982,5.44,1293.4658308029175,1.628,200,1.9196395495
30.603514671325684,42,66.06,0.44,0.157603,15.88,1324.0742592811584,6.606,200,5.43360874558
30.502360343933105,43,76.51,0.57,0.158255,15.76,1354.5814492702484,7.651,200,4.69545407815
30.621106147766113,44,36.79,0.38,0.158846,10.34,1385.2075781822205,3.679,200,3.25498525342
30.599106311798096,45,26.05,0.29,0.000194651,5.97,1415.8114421367645,2.605,200,2.49668279924
30.76541519165039,46,57.03,0.39,0.000116188,10.95,1446.5818321704865,5.703,200,3.95119235168
30.614264965057373,47,36.93,0.66,0.156857,10.38,1477.200885772705,3.693,200,3.2020776068
30.576155424118042,48,76.93,0.57,0.00032774,21.06,1507.7818775177002,7.693,200,7.87910026589
30.60793948173523,49,36.4,0.44,0.000114069,10.74,1538.394611120224,3.64,200,4.04441095835
30.74886703491211,50,47.4,0.6,0.000218633,10.72,1569.148457288742,4.74,200,3.62307880124
30.58568835258484,51,36.9,0.61,0.000170256,10.82,1599.738962650299,3.69,200,3.8883904125
30.783064365386963,52,17.81,0.44,0.000185634,5.84,1630.5269198417664,1.781,200,2.03345248285
30.6382839679718,53,67.23,0.57,0.000299968,15.86,1661.1702139377594,6.723,200,5.45488414176
30.665409803390503,54,47.35,0.54,0.000316465,15.59,1691.840810060501,4.735,200,4.83146613359
30.600741863250732,55,67.44,0.56,0.000128534,20.8,1722.4464914798737,6.744,200,6.61883705797
